"","en","de","es","fr","ko","pl","pt","ru","zh","ja"
"Consumption","Consumption","Verbrauch","Consumo","Consommation","소비","Konsumpcja","Consumo","Потребление","消耗","使用・消費量"
"Production","Production","Produktion","Producción","Production","연출","Produkcja","Produção","Производство","生产","産出・生産量"
"PumpingCapacity","Pumping Capacity","Pumpkapazität","Capacidad de bombeo","Capacité de pompage","펌핑 용량","Wydajność pompowania","Capacidade de bombeamento","Насосная мощность","抽水能力","ポンプ場の処理能力"
"Reserved","Reserved","Reserviert","Reservado","Réservé","예약 된","Zaopatrzenie","Reservado","Зарезервированный","存储","貯水済み"
"StorageCapacity","Storage Capacity","Lagerkapazität","Capacidad de almacenamiento","Capacité de Stockage","저장 용량","Pojemność przechowywania","Capacidade de armazenamento","Емкость","容量","貯水タンクの容量"
"DrainingCapacity","Draining Capacity","Entleerungskapazität","Capacidad desagüe","Capacité d'évacuation","배수 용량","Pojemność odpływu","Capacidade de Drenagem","Емкость слива","排水能力","排水サービスの容量"
"Storage","Storage","Lagerung","Almacenamiento","Stockage","창고 보관","Składowanie","Armazenado","Место хранения","存储","貯蔵量"
"Capacity","Capacity","Kapazität","Capacidad","Capacité","수용력","Pojemność","Capacidade","Емкость","容量","容量"
"ProcessingCapacity","Processing Capacity","Verarbeitungskapazität","Capacidad de procesamiento","Capacité de traitement","처리 용량","Zdolność przetwarzania","Capacidade de processamento","макс. объем обработки","处理能力","処理能力"
"Elementary","Elementary","Grundschule","Colegios","Élémentaire","초등학교","Szkoła podstawowa","Ensino fundamental","Начальная","小学","小学校"
"HighSchool","High School","Oberschule","Institutos","Collège et lycée","고등학교","Szkoła średnia","Ensino médio","Высшая школа","中学","高校"
"University","University","Universität","Universidades","Université","대학교","Uniwersytet","Universidade","Университет","大学","大学"
"PublicLibrary","Public Library","Bibliothek","Biblioteca","Bibliothèque","도서관","Biblioteka","Biblioteca","Библиотека","图书馆","公立図書館"
"Eligible","Eligible","Berechtigt","Elegibles","Éligible","자격이있는","Uprawnieni","Elegível","Отвечающих требованиям","符合","対象者"
"Users","Users","Benutzer","Usuarios","Utilisateurs","사용자","Użytkownicy","Utilizador","Пользователи","用户","利用者"
