"","en","de","es","fr","ko","pl","pt","ru","zh","ja"
"PctOfProduction","% of Production","% der Produktions","% de Producción","% de la Production","생산량의 %","% Produkcji","% do Produção","% производства","生产百分比","産出・生産量(%)"
"MegaWatts","MW","MW","MW","MW","MW","MW","MW","МВт","兆瓦","MW"
"PctOfPumpingCapacity","% of Pumping Capacity","% der Pumpkapazität","% de Capacidad de bombeo","% de la Capacité de pompage","펌핑 용량의 %","% wydajności pompowania","% do Capacidade de bombeamento","% от Насосная мощность","泵送能力百分比","ポンプ場の処理能力(%)"
"CubicMetersPerWeek","m³/week","m³/Woche","m³/semana","m³/semaine","m³/주","m³/tydzień","m³/semana","м³/нед.","立方米/周","㎥/週"
"PctOfStorageCapacity","% of Storage Capacity","% der Lagerkapazität","% de Capacidad de almacenamiento","% de la Capacité de stockage","스토리지 용량의 %","% pojemności magazynu","% do Capacidade de armazenamento","% от емкости хранилища","存储容量百分比","貯水タンクの容量(%)"
"CubicMeters","m³","m³","m³","m³","m³","m³","m³","м³","立方米","㎥"
"PctOfDrainingCapacity","% of Draining Capacity","% der Entleerungskapazität","% de Capacidad desagüe","% de la Capacité de vidange","배수 용량의 %","% wydajności drenażu","% do Capacidade de Drenagem","% от Емкость слива","排水能力百分比","排水サービスの容量(%)"
"PctOfCapacity","% of Capacity","% der Kapazität","% de Capacidad","% de la Capacité","용량의 %","% pojemności","% do Capacidade","% от Емкость","容量百分比","容量(%)"
"Units","units","Einheiten","unidades","unités","유닛","jednostek","unidades","ед.","单元","ユニット"
"PctOfProcessingCapacity","% of Processing Capacity","% der Verarbeitungskapazität","% de Capacidad de procesamiento","% de la Capacité de traitement","처리 용량 %","% mocy przerobowej","% do Capacidade de processamento","% от макс. объем обработки","处理能力百分比","処理能力(%)"
"UnitsPerWeek","units/week","Einheiten/Woche","unidades/semana","unités/semaine","유닛/주","jednostek/tydzień","unidades/semana","ед./неделю","单元/周","ユニット/週"
"Students","students","Studenten","Estudiantes","Étudiants","학생","Studenci","Alunos","Студенты","学生","生徒数"
"Visitors","visitors","Besucher","Visitantes","Visiteurs","방문객","Odwiedzający","Visitantes","Посетители","访客","訪問者"
"PctOfPopulation","% of Population","% der Bevölkerung","% de Población","% de la Population","인구의 %","% ludności","% do População","% от Население","人口百分比","人口(%)"
